date,text
1915.01.01,"To start this diary rightly, it should begin on the last day of the old year, when, at breakfast, I received a letter from Mrs Hallett. She said that she had had to dismiss Lily at a moments notice, owing to her misbehaviour. We naturally supposed that a certain kind of misbehaviour was meant; a married gardener, I hazarded. Our speculations made us both uncomfortable all day. Now this morning I hear from Lily herself. She writes, very calmly, that she left because Mrs Hallett was ‘insulting’ to her; having been given a day & nights holiday, she came back at 8.30 a.m. ‘not early enough’. What is the truth? This, I guess: Mrs H. is an old angry woman, meticulous, indeed as we knew tyrannical, about her servants; & Lily honestly meant no wrong. But I have written for particulars—another lady wanting a character at once. Then I had to write to Mrs Waterlow about the chimney sweeping charges foisted on us, such a letter as comes naturally to the strong character, but not to the weak. And then we tramped to the Co-ops. in rain & cold to protest against their bookkeeping. Manager a bored languid young man, repeating rather than defending himself. Half way home we heard “British warship … British warship” & found that the Formidable has been sunk in the channel. We were kept awake last night by New Year Bells. At first I thought they were ringing for a victory.
"
1915.01.02,"This is the kind of day which if it were possible to choose an altogether average sample of our life, I should select. We breakfast; I interview Mrs Le Grys. She complains of the huge Belgian appetites, & their preference for food fried in butter. “They never give one anything” she remarked. The Count, taking Xmas dinner with them, insisted, after Pork & Turkey, that he wanted a third meat. Therefore Mrs Le G. hopes that the war will soon be over. If they eat thus in their exile, how must they eat at home, she wonders? After this, L. & I both settle down to our scribbling. He finishes his Folk Story review, & I do about 4 pages of poor Effie’s story; we lunch; & read the papers, agree that there is no news. I read Guy Mannering upstairs for 20 minutes; & then we take Max [a dog] for a walk. Halfway up to the Bridge, we found ourselves cut off by the river, which rose visibly, with a little ebb & flow, like the pulse of a heart. Indeed, the road we had come along was crossed, after 5 minutes, by a stream several inches deep. One of the queer things about the suburbs is that the vilest little red villas are always let, & that not one of them has an open window, or an uncurtained window. I expect that people take a pride in their curtains, & there is great rivalry among neighbours. One house had curtains of yellow silk, striped with lace insertion. The rooms inside must be in semi-darkness; & I suppose rank with the smell of meat & human beings. I believe that being curtained is a mark of respectability—Sophie used to insist upon it. And then I did my marketing. Saturday night is the great buying night; & some counters are besieged by three rows of women. I always choose the empty shops, where I suppose, one pays ½[d] a lb. more. And then we had tea, & honey & cream; & now L. is typewriting his article; & we shall read all the evening & go to bed."
1915.01.03,"It is strange how old traditions, so long buried as one thinks, suddenly crop up again. At Hyde Park Gate we used to set apart Sunday morning for cleaning the silver table. Here I find myself keeping Sunday morning for odd jobs—typewriting it was today—& tidying the room—& doing accounts which are very complicated this week. I have 3 little bags of coppers, which each owe the other something. We went to a concert at the Queen’s Hall, in the afternoon. Considering that my ears have been pure of music for some weeks, I think patriotism is a base emotion. By this I mean (I am writing in haste, expecting Flora to dinner) that they played a national Anthem & a Hymn, & all I could feel was the entire absence of emotion in myself & everyone else. If the British spoke openly about W.C’s, & copulation, then they might be stirred by universal emotions. As it is, an appeal to feel together is hopelessly muddled by intervening greatcoats & fur coats. I begin to loathe my kind, principally from looking at their faces in the tube. Really, raw red beef & silver herrings give me more pleasure to look upon. But then I was kept standing 40 minutes at Charing X Station, & so got home late, & missed Duncan who came here. Moreover, London on a Sunday night now, with all its electric globes half muffled in blue paint, is the most dismal of places. There are long mud coloured streets, & just enough daylight & insufficient electric light, to see the naked sky, which is inexpressibly cold & flat.*

* The Times today has an article upon the “Stars of London”—“We may gain from them a serviceable impulse to that steady concentration on enduring issues of which stars are a true symbol, & the glare of London is not”. So be it. (5th Jan)."
1915.01.04,"I do not like the Jewish voice; I do not like the Jewish laugh: otherwise I think (in Saxon’s phrase) there is something to be said for Flora Woolf. She can typewrite, do shorthand, sing, play chess, write stories which are sometimes accepted, & she earns 30/ a week as the secretary of the Principal of the Scottish Church in London. And in doing these various arts she will keep lively till a great old age, like a man playing with five billiard balls.

The outside world burst in upon us with a clamour this morning. 1. I had a letter from Mrs Hallett. 2. I had a letter from Lily. 3. L. had a document from Sydney Waterlow. According to Mrs Hallett, Lily hid a soldier in the Butler’s pantry; she also met soldiers at the gates; & thus Mrs Hallett’s house got a bad name in the village, besides which Mrs Hallett herself was alarmed ‘there being ladies only in the house’. Lily confesses merely to one brother, but adds that Mrs H. is very ill, as well as very old. As for Sydney’s letter—I am so sick of it that I can’t describe it. The house was dirty—4 people scrubbing for a fortnight only succeeded in making it tolerable; & so & so on—all of which would have been suffered in silence but for my note. So I wrote to him, & I wrote to Lily—& after spending some time in phrasing virtuous sentiments nobly, I see clearly how official skins grow thick & shiny. To Lily I said that she must promise to behave better, if I gave her another character—for I am sure poor Mrs Hallett & her trembling old sister heard soldier voices whenever there was a wind in the laurels. Philip came after luncheon, having 4 days leave. He is sick to death of soldiering—told us tales of military stupidity which pass belief. They found a man guilty of desertion the other day & sentenced him; & then discovered that the man did not exist. The Colonel says “I like well dressed young men—gentlemen” & gets rid of recruits who sink below this level. In addition to this, the demand for cavalry at the front is exhausted, so that probably they will stay at Colchester for ever. Another dark, rainy day. An aeroplane passed overhead."
1915.01.05,"I had a letter this morning from Nessa, who calls Mrs Waterlow a German hausfrau, & advises us not to pay a penny—Cleanliness is a fetish not to be worshipped, she says. Certainly, neither of us do worship it; I suppose Mrs W. ran about with a duster, & dabbed her finger under beds. I can imagine the list of discoveries she gave Sydney, sitting smoking over his philosophy, & how she cursed that dreadful slut Virginia Woolf. At the same time, it is a point of honour among servants to find the house they go into filthy, & to leave it bright as a pin. But enough of Waterlows & their slop pails. We worked as usual: as usual it rained. After lunch we took the air in the Old Deer Park, & marked by a line of straw how high the river had been; & how a great tree had fallen across the towing path, crushing the railing beneath it. Three bodies were seen yesterday swiftly coursing downstream at Teddington. Does the weather prompt suicide? The Times has a queer article upon a railway smash, in which it says that the war has taught us a proper sense of proportion with respect to human life. I have always thought we priced it absurdly high; but I never thought the Times would say so. L. went off to Hampstead to give the first of his lectures to the Women’s Guild. He did not seem nervous: he is speaking at this moment. We rather think that old Mr Davies is dying—but I have an idea he’ll resist for years to come, although he wants to die, & his life prevents Margaret from much work. I bought my fish & meat in the High Street—a degrading but rather amusing business. I dislike the sight of women shopping. They take it so seriously. Then I got a ticket in the Library, & saw all the shabby clerks & dressmakers thumbing illustrated papers, like very battered bees on very battered flowers. At least they are warm & dry: & it rains again today. The Belgians downstairs are playing cards with some friends, & talk—talk—talk—while their country is destroyed. After all, they have nothing else to do—"
1915.01.06,"The Waterlows again: Lily again. Mrs W. writes to Leonard this time, about the oven, & ends by being very much distressed to think we are annoyed—seeing how delightful they find Asheham. It is a queer thing that both the ladies in this correspondence write to both the gentlemen—feeling instinctively, I believe, that if they wrote to each other, the whole affair would become much more acid. Lily’s letter continues the story of the hidden soldier. It brings her very clearly before me, with her charming, stupid, doglike eyes, quite incapable of hurting a fly or thinking a coarse thought, & yet bound eternally to suffer for the sins of stronger characters. In this case, she was at the mercy of a parlourmaid, who invited the soldiers, & Lily had neither the strength of mind to be rude to them when they came, nor to ‘tell tales of a fellow servant’. ‘I would rather do anything than that’—& that, I imagine, was how she had her baby too. Anyhow, I have ‘spoken’ for her again, & she has promised to have no more to do with soldiers. L. went off at 10 a.m. to give his second lecture at Hampstead. The first was a great success, as I knew it would be. He finds the women much more intelligent than the men; in some ways too intelligent, & apt on that account, not to see the real point. He has another to give this afternoon, so he is staying up at Hampstead, lunching with Lilian, & perhaps seeing Janet. No one except a very modest person would treat these working women, & Lilian & Janet & Margaret, as he does. Clive, or indeed any other clever young man, would give himself airs; & however much he admired them pretend that he didn’t.

I wrote all the morning, with infinite pleasure, which is queer, because I know all the time that there is no reason to be pleased with what I write, & that in 6 weeks or even days, I shall hate it. Then I went to London, & asked at Grays Inn about Chambers. They had a set vacant; & I at once envisaged all sorts of charms, & let myself into them with a thrill of excitement. But they would be perfect for one, & impossible for two. There are 2 perfect rooms, looking over the gardens; & that is about all. Grays Inn Road thunders behind one. Next I saw a flat in Bedford Row, which promised divinely, but on asking at the agents, was told they had just been instructed to let it furnished only—And now, of course, I am convinced that there is no flat in London to equal it! I could wander about the dusky streets in Holborn & Bloomsbury for hours. The things one sees—& guesses at—the tumult & riot & busyness of it all—Crowded streets are the only places, too, that ever make me what-in-the-case of another-one-might-call think. Now I have to decide whether I shall go up again, to a party at Gordon Sqre, where the Aranyis are playing. On the one hand, I shirk the dressing & the journey; on the other I know that with the first chink of light in the hall & chatter of voices I should become intoxicated, & determine that life held nothing comparable to a party. I should see beautiful people, & get a sensation of being on the highest crest of the biggest wave—right in the centre & swim of things. On the third & final hand, the evenings reading by the fire here—reading Michelet & The Idiot, & smoking & talking to L. in what stands for slippers & dressing gown—are heavenly too. And as he won’t urge me to go, I know very well that I shant. Besides, there is vanity: I have no clothes to go in."
1915.01.07,"No—we didn’t go to the Gordon Sqre party. Leonard got back too late, & it rained; & really, we didn’t want to go. The lectures were a great success. One old lady told Leonard that they should consider him a personal friend for life; another said that he was the only gentleman who spoke so that working women could understand. He explained Bills of Exchange & so on for an hour; & then answered questions, which again, were amazingly intelligent. I started off after lunch today, first to go to the Foundling Hospital & ask whether they would let us have Brunswick Square—or half the house; then to the Omega to buy Janet a shawl, & then to tea with Janet. Mr Chubb opened the door to me at the Hospital. He was sitting at a writing table in a very warm comfortable room, looking on to the garden; while a clerk drew plans of houses on a very high desk. Mr Chubb is growing fat. He recognised me & became immediately extremely courteous. Brunswick Sqre is already practically let to a retired Ceylon Civil Servant, called Spence, who may however be willing to let the two upper floors, which would suit us very well. I became, of course, possessed with a passion to have Brunswick Square. Mr Chubb, who has infinite leisure, & likes conversation, discussed every possibility. He did not himself admire Adrian’s frescoes, but said that most people do. The Ceylon gentleman proposed to cover them with a curtain, being apparently of opinion that they were too good to destroy, though not nice to look upon. He is a bachelor, perhaps rather a crusty bachelor, once Chief of the Colombo Lunatic Asylum— At this point a Secretary came in, also excessively polite when he heard my name. “Mrs Woolf certainly has a very strong claim to the house” he said. “And I myself don’t think Spence is quite right”—“I do” Mr Chubb replied firmly “I’ve looked him up in the Medical Directory—besides, he seems all right.” “He looks all right certainly” the secretary agreed, “but I don’t know—However it wouldn’t be playing the game to refuse at the eleventh hour.” “The twelfth you may say” said Mr Chubb. At last I left, shaking hands all round, & having begged Mr Chubb to do his best & let us know. They advised me to see a house in Mecklenburgh Sqre, which I did. It is a vast place, with a great hall, a sweeping staircase; & we could have a flat at the top—the only objection being that Grays Inn Road is at the back—When I got out, it was raining. I walked to the Omega however & bought my stuff from a foolish young woman in a Post Impressionist tunic. I went to Hampstead, found some elderly lady there already, went to the station, in order to avoid tea with Emphie; & then was allowed up to Janet. She is in bed, & will have to stay in bed for weeks. Her nerves are thoroughly wrong. She can’t read, or do anything—I can guess what she feels like—& how miserable she must be very often—especially since she is growing old, & Emphie must be wearisome with her repetitions, & general enthusiastic vagueness. & then, the fag end of life—Still she is trained to be brave, & so unselfish by nature that other people really interest her. We talked about Leonard, & Lily, & life in London & Hardy’s poems which she can’t re-read—Too melancholy & sordid—& the subjects not interesting enough. I don’t agree. It grew late; & she suggested that I should dine there & go with L. to the Peace Debate at the Women’s Guild. I couldn’t face dinner, so I retreated to the Public Library. On the way I walked through one of the worst downpours I have ever been in. It was more like a shower bath than natural rain. My shoes squeaked so with wet as I walked up the Library that I was ashamed. Then I dined at a cabmans eating house—the only dining place, & very good. Coarse, but clean & sober. At 8 I met L. at 28 Church Row. The rooms are old white pannelled rooms; one was full of working women. It was a comfort (after reading more terrific letters of childbirth) to see how the women roar with laughter, like schoolgirls. Mr Hobson spoke—It was very good—The women impressive as usual—because they seem to feel, & to have such a sense of responsibility. Another letter from Mrs Waterlow.
"
1915.01.08,"Sydney Waterlow came to lunch with us today ‘to make sure’ as he put it ‘that we had not quarrelled over these wretched matters’. We discussed little else for the first hour & a half. My first letter had given him a sleepless night, he told us, though Mrs Waterlow in spite of pregnancy, slept sound. As far as we could make out, Mrs W. acts & writes impulsively; when Sydney bestirred himself to think, he was appalled to realise that their behaviour was not ethically sound. He cogitated for long, devoted a whole morning to his reply, & has taken the advice of several friends; who happen to agree with him that chimneys are usually swept by landlords. “But then we should have asked your leave—I entirely yield that point—only” & so on & so on; all in the solid simple style, which is so like him. His fat pink body always seems to me boneless & hairless like that of a gigantic child; & his mind is the same. But there is a charm about him. He & L. went for a walk. I went to Chancellors, to ask whether there was any news of Hogarth. At first the man said no. When I told him that we might take a house in London, he at once confessed that he had twice seen Mrs Wontner, the present tenant, & that she does not like the house. Is this invented, &, if not, is there some good reason why she does not like it? It seems likely that we shall have to choose between Brunswick & Hogarth—unless both fail us. Sydney came back to tea, & told us how Alice had been to see them, & how he had at once regretted her “as one might regret a very fine walking-stick—She was so pretty & happy with a great fat baby. The house was full of our furniture—like a house of death to me.” But when I suggested that the present Mrs W. had been uncomfortable he was amazed. “She isnt that sort of person at all” he said. “She’s perfectly sensible…..” Still, if she saw Sydney coveting the walking stick, I thought—Sydney replied that Marg. (as he calls her) was so infinitely more to him than the walking stick that she couldn’t feel anything of the kind. He went off to Asheham. They want to take it on for another 6 months—He has no work to do, but Asheham is so delightful that he is perfectly happy doing nothing."
1915.01.09,"At two o’clock this morning several barges moored in the river broke loose. One crashed into Richmond Bridge, & knocked off a good deal of stone from one of the arches—The others went to the bottom, or drifted down stream. All this I mention, not because we saw or heard anything of it, but because we noticed the damaged Bridge as we walked to Kingston this afternoon. The stone is yellower inside than out, which makes it more obvious. We had a very good walk. The purplish fields outside Kingston somehow reminded me of Saragossa. There is a foreign look about a town which stands up against the sunset, & is approached by a much trodden footpath across a field. I wonder why one instinctively feels that one is complimenting Kingston absurdly in saying that it is like a foreign town. On the towpath we met & had to pass a long line of imbeciles. The first was a very tall young man, just queer enough to look twice at, but no more; the second shuffled, & looked aside; & then one realised that every one in that long line was a miserable ineffective shuffling idiotic creature, with no forehead, or no chin, & an imbecile grin, or a wild suspicious stare. It was perfectly horrible. They should certainly be killed. We found a market going on at Kingston, as if it were Marlborough. We bought a pineapple for 9d. The man said they had all ripened on his hands, &, as he expected another boatload on Tuesday, he had to sell at a loss. We had a bad tea in a very pretentious place. We came back by train with a working man & two small boys. The working man began to tell us about the Lyons meat contract scandals; & told us that he was attached to the flying department at Hounslow. He was very clever, & should have been an M.P. or a journalist at least. I see Will Vaughan quoted in the Times to the effect that teachers neglect the grammar of modern languages, & talk too much about style & literature; but nothing fortifies the character & mind so much as grammar. How like him!
"
1915.01.10,"I was sitting typewriting this morning when there came a tap at the door; & someone whom I thought at first was Adrian, appeared: it was Walter Lamb however, fresh from the King. Whenever he has seen the King he comes to tell us. He insisted that we should go for a walk with him in Richmond Park. What did we talk about? We forgot about the King, & Walter told us a long inexpressibly dreary story which Professor Houseman had told him, about the inefficiency of the French soldiers. Whatever Walter says, has the same flat, smooth, grey surface; & his voice alone would dull the fieriest poesy in the world. Nor does he deal in fiery poems. His life now lies among respectable, semi-smart, rich people, whom he half despises, so that his accounts are always a little condescending. The one passion of his life is for eighteenth century building. All the time this morning he was bidding us admire a moulding or a window frame or even a ‘fan light’. He ‘sees over’ any house that is to let, apparently, & notices the internal decorations. He knows who now lives in big houses, & who once lived in them. He is perfectly suited by Kew, & the Royal Academy, & the Royal Family. On our doorstep he burst at length into an account of the last Royal visit, when the King, who now treats him as a friend (or rather, as Leonard say, like a superior footman) suddenly stopped admiring the pictures, & asked Princess Victoria where she gets her false teeth. “Mine, George exclaimed, are always dropping into my plate: they’ll be down my throat next. My man is a rascal. I’m going to leave him.” Victoria then gave a tug to her front teeth, & told him that they were as sound as could be—perfectly white & useful—The King then went back to the pictures. His style of talk reminds me of George 3rd in Fanny Burney’s diary—& so one must bless Walter for something— He refused to lunch with us, saying that he had lived on pheasants all the week, & rhubarb was forbidden him, on account of his acidity. It rains hard, all the afternoon, & now Marjorie Strachey who was to dine with us, cant come because of a cold. I beard last night from Mr Chubb that old Spence wont let any part of Brunswick Square—"
